"Sku,","Product, ","Brand,","Style,","Qty on hand,","Qty on shelf,","Qty Ordered on shelf,","Qty in carts,","Qty Sold,","Total Waitlist,","Total Waitlist Authorized,","Price,","Cost,","Size,","Color,","Location,","Shipping,",Weight,
1026,Ruffle Cold Shoulder Top *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,29.99,15,3X,,,,16,i-177
1032,Ruffled Off the Shoulder Top *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,35.99,15.25,XL,,,,16,i-178
1032,Ruffled Off the Shoulder Top *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,35.99,15.25,1XL,,,,16,i-179
1032,Ruffled Off the Shoulder Top *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,35.99,15.25,2XL,,,,16,i-180
1041,Rusty Scalloped Dress,TheMadHatterStoreTN,,3,0,0,0,0,0,0,39.99,18.25,XL,,,,16,i-181
1041,Rusty Scalloped Dress,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,18.25,1XL,,,,16,i-182
1041,Rusty Scalloped Dress,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,18.25,2XL,,,,16,i-183
1005,Sage Is The Rage *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.9,1XL,,,,16,i-184
1005,Sage Is The Rage *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.9,2XL,,,,16,i-185
1005,Sage Is The Rage *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.9,3XL,,,,16,i-186
1053,Sequin Summer Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,49.99,18.75,1X,,,,16,i-187
1053,Sequin Summer Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,49.99,18.75,2X,,,,16,i-188
1053,Sequin Summer Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,49.99,18.75,3X,,,,16,i-189
1036,Shamrock Dress,TheMadHatterStoreTN,,3,0,0,0,0,0,0,45.99,17.25,XL,,,,16,i-190
1036,Shamrock Dress,TheMadHatterStoreTN,,2,0,0,0,0,0,0,45.99,17.25,1XL,,,,16,i-191
1036,Shamrock Dress,TheMadHatterStoreTN,,1,0,0,0,0,0,0,45.99,17.25,2XL,,,,16,i-192
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,6.85,5,,,,24,i-193
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,6.85,5.5,,,,24,i-194
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,2,0,0,0,0,0,0,24.99,6.85,6,,,,24,i-195
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,2,0,0,0,0,0,0,24.99,6.85,6.5,,,,24,i-196
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,6.85,7,,,,24,i-197
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,6.85,7.5,,,,24,i-198
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,6.85,8,,,,24,i-199
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,2,0,0,0,0,0,0,24.99,6.85,8.5,,,,24,i-200
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,0,0,0,0,0,0,0,24.99,6.85,9,,,,24,i-201
1052,Slip-on Rose Gold Sandals,TheMadHatterStoreTN,,0,0,0,0,0,0,0,24.99,6.85,10,,,,24,i-202
1029,Smocked Waist Dress *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,49.99,18.75,XL,,,,16,i-203
1029,Smocked Waist Dress *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,49.99,18.75,1XL,,,,16,i-204
